Repository;BAC Categories;# of Categories
node-express-mongodb-jwt-rest-api-skeleton;Unprotected Route;1
React-Redux-Flask;Unprotected Route;1
node_passport_login;Unprotected Route, Misconfig;2
cross-origin;IDOR, Unprotected Route;2
Universal-React-Apollo-Registration;IDOR, Unprotected Route;2
fastify-jwt;Unprotected Route;1
Cosmos-Server;IDOR, Unprotected Route;2
express-es6-rest-api;Unprotected Route;1
nginx-jwt;Unprotected Route;1
learn-json-web-tokens;Unprotected Route;1
react-redux-jwt-auth-example;Unprotected Route, Misconfig;2
crate;Unprotected Route;1
allOrigins;Misconfig;1
SmartMirror;IDOR, Unprotected Route;2
hapi-auth-jwt2;Misconfig;1
ghChat;Unprotected Route;1
mern-chat-app;Unprotected Route;1
nunjucks;Unprotected Route;1
shadowsocks-manager;Unprotected Route, Misconfig;2
jsonwebtoken.github.io;Unprotected Route;1
login-with;Misconfig;1
Sefinek-Blocklist-Collection;Unprotected Route;1
cloudfront-auth;Misconfig;1
pm2panel;IDOR, Unprotected Route, Misconfig;3
openscope;Unprotected Route;1
stf;IDOR, Unprotected Route, Misconfig;3
smart-mirror;Unprotected Route;1
mern;Unprotected Route;1
history;Unprotected Route;1
mern-auth;Unprotected Route;1
wind;IDOR, Unprotected Route;2
nodejs-jwt-authentication-sample;Unprotected Route, Misconfig;2
session;Unprotected Route;1
